time(ms),x-accel,y-accel,z-accel
4833920.000000944,-0.054932,-1.421738,-0.10498
4861070.000002655,0.494995,-1.280762,1.107224
4888259.999999719,-0.090179,-1.06221,0.469131
4915410.00000143,-0.467377,-0.838409,-0.239609
4942560.00000314,-0.533661,-0.723724,-0.599442
4969710.000001214,-0.120895,-0.973633,-0.542404
4996860.000002925,0.055618,-0.987167,-0.221771
5024049.999999989,-0.060501,-0.99675,0.14325
5051200.0000017,-0.245682,-1.050766,0.372238
5078349.999999773,-0.231049,-1.082458,0.024506
5105500.0000014845,-0.106491,-1.004684,-0.057114
5132650.000003195,-0.164291,-0.957062,-0.054184
5159840.000000259,-0.183151,-1.018143,-0.04306
5186990.00000197,-0.163971,-1.013885,0.001389
5214140.000000043,-0.075623,-1.029099,0.078842
5241290.000001755,0.042969,-1.014206,0.171722
5268450.000003213,0.159943,-1.029861,0.212341
5295630.000000529,0.159317,-1.008774,0.164658
5322790.000001987,0.095413,-1.031967,0.0578
5349940.000000061,0.031326,-1.130264,0.131805
5377090.000001771,0.026993,-1.124161,0.22345
5404239.999999845,0.04982,-1.046814,0.299347
5431430.000000546,0.140045,-1.168488,0.354034
5458590.000002004,0.063309,-1.223923,0.12384
5485740.000000078,0.015747,-1.299942,0.105316
5512890.000001789,-0.049301,-1.615967,-0.064163
5540039.999999862,0.078629,-1.54924,-0.041885
5567230.000000563,0.674179,-1.584091,0.049026
5594390.000002022,0.557678,-1.136398,-0.165543
5621540.000000095,0.147659,-0.63649,-0.272385
5648690.000001807,-0.294235,-0.985291,-0.372772
5675830.000000132,-0.449539,-0.491394,-0.056702
5703030.000000581,-0.044968,-0.761566,0.244781
5730170.000002544,0.189255,-0.821289,0.158493
5757310.000000871,0.209,-0.827133,0.240875
5784480.000002077,0.448166,-1.019287,0.302277
5811630.00000015,0.037659,-1.157135,0.111633
5838820.000000851,0.100266,-1.30838,0.102921
5865970.000002562,0.159332,-1.464035,0.181763
5893120.000000635,0.093353,-1.57724,0.22934
5920270.000002347,0.084106,-1.755096,0.46489
5947430.000000168,0.047592,-1.116516,0.588394
5974610.000001121,0.317673,-1.134201,0.782166
6001760.000002832,0.867401,-0.832809,1.344543
6028920.000000653,1.343857,-0.252426,1.37648
6056070.000002365,1.913147,-0.6427,0.494278
6083230.000000185,0.844849,-1.520813,-0.930145
6110420.000000886,-0.330246,-1.274231,-0.389114
6137570.000002597,0.300217,-2.452805,0.831985
6164730.000000418,-0.10675,-1.006821,1.645798
6191880.000002129,-0.520462,-0.720795,-0.411041
6219030.000000203,-0.456116,-0.653061,-0.755783
6246220.000000903,0.044861,-0.89209,-1.276672
6273380.000002362,0.195099,-0.992249,-0.332932
6300530.000000436,0.028824,-1.031021,-0.046234
6327680.000002147,-0.195663,-1.005173,0.364899
6354830.00000022,-0.213806,-1.086945,0.333588
6382010.0000011735,-0.452698,-0.914688,-0.404297
6409170.000002632,0.694824,-0.712311,1.892578
6436320.000000706,0.572693,-1.135483,0.080124
6463470.000002417,0.437607,-0.907181,-0.384979
6490630.0000002375,0.23204,-1.101349,-0.215118
6517810.000001191,0.0681,-1.063721,0.333115
6544960.000002902,-0.117798,-1.064392,0.250763
6572110.000000976,-0.053726,-0.97699,-0.053864
6599270.0000024345,0.180588,-1.013107,0.109802
6626420.000000508,0.184433,-1.048096,0.122803
6653610.000001209,0.051102,-1.115936,0.147385
6680760.00000292,-0.03772,-1.283524,0.110077
6707920.00000074,-0.09436,-1.124405,0.18277
6735070.000002451,-0.388489,-1.50415,-0.267868
6762220.000000525,-0.097275,-1.434341,0.320999
6789410.000001226,0.654556,-1.902451,0.512711
6816560.000002937,1.344116,-1.537292,0.16449
6843720.000000758,1.485168,-1.85025,-0.54129
6870870.000002469,0.192688,-0.599121,-0.439575
6898020.000000542,-0.490524,-0.235062,-0.158218
6925200.000001496,-0.657791,-0.089966,0.639633
6952350.0000032075,-0.458023,-0.39151,0.276093
6979500.000001281,-0.116501,-0.581894,0.028748
7006650.000002991,0.395416,-1.071075,0.166901
7033800.000001065,0.504471,-1.110184,0.304581
7060990.000001766,0.511154,-1.408493,0.340164
7088139.99999984,0.351028,-1.655319,0.333344
7115290.000001551,0.173096,-1.960007,0.309479
7142440.0000032615,0.012924,-2.021454,0.352539
7169420.000001992,0.058502,-1.549164,0.784256
7196610.000002692,0.317215,-0.979187,1.018265
7223770.000000513,1.025513,-0.337234,1.79921
7250920.000002225,1.25322,0.075333,1.065781
7278070.000000298,1.743088,-2.089813,0.121994
7305230.0000017565,0.908936,-1.129089,-1.026871
7332410.00000271,-0.043839,-1.101089,-0.173141
7359570.000000531,-0.335403,-2.490051,2.458939
7386720.000002243,-0.983856,-1.115799,1.173096
7413870.000000316,-0.476303,-1.107513,-0.251404
7441020.000002027,-0.194794,-0.909225,-0.71814
7468210.000002728,0.21904,-1.012512,-0.560806
7495360.000000801,0.045227,-1.056015,0.020615
7522510.000002513,-0.240646,-0.996078,0.225464
7549660.000000586,-0.28952,-0.985214,-0.146088
7576810.000002297,-0.014893,-1.057083,-0.206055
7604000.000002998,-0.004135,-1.168839,0.053848
7631150.000001071,-0.071762,-1.111465,0.303329
