time (ms), x-accel, y-accel, z-accel
3207.5800000020536, -0.409424, 0.962631, 0.376495
3232.8299999935552, -0.394455, 1.060684, 0.374481
3258.0999999918276, -0.40831, 1.111404, 0.396637
3283.3499999978812, -0.405212, 1.062881, 0.39769
3308.6199999961536, -0.357941, 1.059341, 0.372345
3333.8700000022072, -0.324478, 1.105087, 0.334457
3359.119999993709, -0.304855, 1.14621, 0.29686
3384.3899999919813, -0.269897, 1.03656, 0.256683
3409.639999998035, -0.207428, 0.948013, 0.253357
3434.9099999963073, -0.154572, 0.91362, 0.258011
3460.160000002361, -0.169128, 0.879745, 0.237701
3485.4099999938626, -0.18895, 0.861023, 0.214447
3510.679999992135, -0.178299, 0.825333, 0.217056
3535.9299999981886, -0.153732, 0.822968, 0.227951
3561.199999996461, -0.291336, 0.796265, 0.19548
3586.4499999879627, -0.185028, 0.796906, 0.231796
3611.6999999940163, -0.188232, 0.775711, 0.226028
3636.9699999922886, -0.202744, 0.763901, 0.219864
3662.2199999983422, -0.203232, 0.777725, 0.217621
3687.4899999966146, -0.26976, 0.79184, 0.216049
3712.7399999881163, -0.237274, 0.806, 0.225983
3737.98999999417, -0.228287, 0.786636, 0.228821
3763.2699999958277, -0.237457, 0.795959, 0.250671
3788.509999998496, -0.265854, 0.850067, 0.286362
3813.7799999967683, -0.292587, 0.901764, 0.306885
3839.02999998827, -0.328568, 0.924164, 0.323059
3864.2799999943236, -0.324539, 0.942062, 0.331772
3889.549999992596, -0.303131, 0.982086, 0.345856
3914.7999999986496, -0.314117, 1.145157, 0.342209
3940.0599999935366, -0.362762, 1.230286, 0.321777
3965.30999999959, -0.39769, 1.24678, 0.342316
3990.559999991092, -0.355972, 1.051514, 0.414261
4015.8299999893643, -0.289673, 0.872513, 0.437515
4041.079999995418, -0.198868, 0.826889, 0.402832
4066.3499999936903, -0.205658, 0.845734, 0.351257
4091.599999999744, -0.270279, 0.858353, 0.33136
4116.849999991246, -0.269592, 0.886612, 0.310242
4142.119999989518, -0.260376, 0.87912, 0.29686
4167.369999995572, -0.235336, 0.847366, 0.312332
4192.639999993844, -0.202652, 0.78241, 0.296936
4217.889999999898, -0.208588, 0.744736, 0.276917
4243.139999991399, -0.277939, 0.762253, 0.303055
4268.409999989672, -0.310104, 0.790939, 0.312973
4293.659999995725, -0.315842, 0.796356, 0.32959
4318.929999993998, -0.350128, 0.787064, 0.354828
4344.180000000051, -0.372772, 0.779724, 0.362335
4369.429999991553, -0.381332, 0.791824, 0.355118
4394.699999989825, -0.401764, 0.832047, 0.35347
4419.949999995879, -0.410431, 0.848526, 0.368042
4445.219999994151, -0.42334, 0.823929, 0.401215
4470.4599999968195, -0.450195, 0.843201, 0.438812
4495.709999988321, -0.46199, 0.85022, 0.420334
4520.9800000011455, -0.47525, 0.882645, 0.40152
4546.229999992647, -0.467896, 0.99852, 0.421448
