time(ms), Accel (x), Accel (y), Accel (z)
25934.0, 0.11496094, 9.6615095, 4.471502
26037.0, 1.6142433, 10.811119, 1.4034815
26140.0, -0.13651612, 7.965835, 2.5411158
26243.0, -1.5998731, 8.2125225, 2.7686427
26347.0, -0.5604346, 9.09868, 3.166216
26456.0, 0.15567628, 11.376344, 3.4584084
26559.0, -0.5364844, 13.809683, 4.1074586
26662.0, 0.613125, 8.715476, 2.703977
26768.0, -1.6429834, 10.997931, 1.5519727
26872.0, -0.8813672, 9.457932, 1.5447876
26975.0, -0.5029541, 9.350157, 1.0705738
27081.0, -0.79993653, 10.066268, 1.695674
27186.0, -0.23471193, 10.427916, 2.7375073
27288.0, -0.1939966, 11.247012, 5.0846267
27392.0, -0.019160157, 9.115445, 4.8427296
27502.0, 0.4742139, 9.06994, 3.2308815
27605.0, -0.9532178, 8.904683, 2.9027638
27710.0, -0.100590825, 9.359736, 3.1039455
27816.0, -0.244292, 9.726174, 3.558999
27918.0, -0.7376661, 12.525952, 4.29427
28025.0, 0.56522465, 9.410032, 3.4967287
28131.0, -2.2656887, 10.981165, 1.81782
28233.0, -0.6394702, 9.874666, 1.7723145
28339.0, 0.019160157, 10.085427, 0.9148975
28443.0, -1.0633887, 9.596844, 2.0381618
28548.0, -1.4202466, 10.106983, 2.8452833
28653.0, -0.38320315, 12.607384, 3.7290456
28756.0, 0.48618898, 9.582474, 4.0571632
28859.0, -0.22513184, 10.059082, 2.074087
28963.0, 0.43589357, 9.419612, 2.8883936
29067.0, -0.7448511, 8.816068, 2.7686427
29171.0, -0.3281177, 9.266331, 3.530259
29274.0, 0.1341211, 10.140513, 3.539839
29377.0, -0.732876, 9.865086, 4.026028
29482.0, -4.3206153, 15.479012, 3.8272414
29588.0, 0.16525635, 10.312955, 1.3388159
29694.0, -1.9016455, 9.754915, 2.543511
29798.0, -1.5926881, 10.224339, 2.7494826
29903.0, -0.98195803, 8.792117, 4.4499464
30007.0, -1.2693604, 7.8508744, 5.0918117
30111.0, -2.0285816, 7.5706573, 6.7874856
30222.0, -3.1614258, 9.481883, 7.8868
30326.0, 0.20118165, 6.167176, 7.32876
30431.0, 0.06466553, 7.697593, 6.06419
30536.0, -1.2502003, 7.204219, 8.025711
30639.0, -1.0873389, 7.3455253, 7.5012016
30745.0, -1.0083033, 7.429351, 7.0150127
30850.0, -0.8885523, 8.3322735, 7.4030056

