time(ms), Accel (x), Accel (y), Accel (z)
25030.0, -1.4585669, 10.298584, -0.9867481
25136.0, -2.198628, 10.698553, -1.8800904
25241.0, -1.839375, 11.0051155, -2.1028273
25345.0, 3.04407, 9.627979, -1.1927198
25449.0, 0.852627, 10.8997345, -0.40954837
25553.0, 0.100590825, 11.02667, -0.8669971
25658.0, 0.34967285, 9.922566, 0.6346802
25763.0, 1.0609937, 10.581197, -0.20357667
25865.0, 1.8896705, 10.523716, -0.46702883
25971.0, 1.8633252, 10.248289, 0.102985844
26075.0, 1.6142433, 10.691368, -0.7664063
26179.0, 2.0812721, 10.521321, -0.07185059

